artigoEmPeriodico	Roberto Marcondes Cesar Junior	2017	http://dx.doi.org/10.1016/j.cviu.2016.12.003	Exploring structure for long-term tracking of multiple objects in sports videos	COMPUTER VISION AND IMAGE UNDERSTANDING	MORIMITSU, H. ; BLOCH, Isabelle ; Cesar Jr, Roberto M.	A1	Computer Vision and Image Understanding (Print)
trabalhoCompletoEmCongresso	Roberto Marcondes Cesar Junior	2008		Structural Matching of 2D Electrophoresis Gels using Graph Models	SIBGRAPI	NOMA, A. ; PARDO, A. ; CESAR JUNIOR, R. M.	B1	
trabalhoCompletoEmCongresso	Roberto Marcondes Cesar Junior	2008		PCA-based 3D Face Photography	SIBGRAPI	CHALCO, J M ; MACEDO, Y. ; VELHO, L ; CESAR JUNIOR, R. M.	B1	
trabalhoCompletoEmCongresso	Roberto Marcondes Cesar Junior	2007		Structural Image Segmentation with Interactive Model Generation (ACCEPTED)	IEEE International Conference on Image Processing - ICIP	CONSULARO, L. A. ; CESAR JUNIOR, R. M. ; BLOCH, Isabelle	A1	IEEE International Conference on Image Processing
trabalhoCompletoEmCongresso	Roberto Marcondes Cesar Junior	2007		Oversegmentation control for inexact graph matching: first results (ACCEPTED)	International Symposium on Mathematical Morphology - ISMM 2007	CONSULARO, L. A. ; CESAR JUNIOR, R. M. ; FIGUEIREDO, L H ; BLOCH, Isabelle	B1	International Symposium on Mathematical Morphology
trabalhoCompletoEmCongresso	Roberto Marcondes Cesar Junior	2007		Object Tracking Based On Graph Representations And Structural Pattern Recognition (ACCEPTED)	Brazilian Symposium on Computer Graphics	GRACIANO, A B V ; CESAR JUNIOR, R. M. ; BLOCH, Isabelle	Qualis nao identificado	Brazilian Symposium on Computer Graphics
trabalhoCompletoEmCongresso	Roberto Marcondes Cesar Junior	2007		Efficient curve detection using a Gauss-Newton method with applications in agriculture	1st International Workshop on Computer Vision Applications for Developing Regions in Conjunction with ICCV 2007	ANDREANI, R. ; CESAR, G. ; CESAR JUNIOR, R. M. ; MARTINEZ, J. M. ; SILVA, P J S	Qualis nao identificado	1st International Workshop on Computer Vision Applications for Developing Regions in Conjunction with ICCV 2007
trabalhoCompletoEmCongresso	Roberto Marcondes Cesar Junior	2006		Modélisation de la relation spatiale entre pour des objets d'extensions spatiales très différentes	15e congrès francophone AFRIF-AFIA Reconnaissance des Formes et Intelligence Artificielle	BLOCH, Isabelle ; COLLIOT, O ; CESAR JUNIOR, R. M.	Qualis nao identificado	15e congrès francophone AFRIF-AFIA Reconnaissance des Formes et Intelligence Artificielle
trabalhoCompletoEmCongresso	Roberto Marcondes Cesar Junior	2006		Human and Machine Recognition of Fourier-Bessel Filtered Face Images	7th IEEE International Conference on Automatic Face and Gesture Recognition	ZANA, Y ; CESAR JUNIOR, R. M. ; CHALCO, J M	A1	International Conference on Automatic Face and Gesture Recognition
trabalhoCompletoEmCongresso	Roberto Marcondes Cesar Junior	2006		Identificación de regiones codificantes de proteínas mediante la transformada modificada de Morlet	XIII Concurso Latinoamericano de Tesis de Maestría. 32a Conferencia Latinoamericana de Informática - CLEI	CHALCO, J M ; CESAR JUNIOR, R. M.	B4	Conferencia Latinoamericana de Informática
trabalhoCompletoEmCongresso	Roberto Marcondes Cesar Junior	2006		Determining the Branching Structure of 3D Structures from Respective 2D Projections	Brazilian Symposium on Computer Graphics	LEANDRO, J. J. G. ; CESAR JUNIOR, R. M. ; COSTA, L. da F.	Qualis nao identificado	Brazilian Symposium on Computer Graphics
trabalhoCompletoEmCongresso	Roberto Marcondes Cesar Junior	2006		Análise de Formas 3D usando Wavelets 1D, 2D e 3D	Workshop de teses e dissertações - SIBGRAPI	PINTO, S. C. D. ; CESAR JUNIOR, R. M. ; COSTA, L. da F.	Qualis nao identificado	Workshop de teses e dissertações - SIBGRAPI
trabalhoCompletoEmCongresso	Roberto Marcondes Cesar Junior	2006		Rastreamento de Componentes Conexas em Vídeo 3D para Obtenção de	Workshop de teses e dissertações - SIBGRAPI	PIRES, D da S ; CESAR JUNIOR, R. M. ; VIEIRA, M B ; VELHO, L	Qualis nao identificado	Workshop de teses e dissertações - SIBGRAPI
trabalhoCompletoEmCongresso	Roberto Marcondes Cesar Junior	2005		Mathematical modeling of the relationship between based on morphological operators	International Symposium on Mathematical Morphology - ISMM'05	BLOCH, Isabelle ; COLLIOT, O ; CESAR JUNIOR, R. M.	B1	International Symposium on Mathematical Morphology
trabalhoCompletoEmCongresso	Roberto Marcondes Cesar Junior	2005		Classification of Pathology in Diabetic Eye Disease	APRS Workshop on Digital Image Computing - Pattern Recognition and Imaging for Medical Applications	JELINEK, H. ; LEANDRO, J. J. G. ; CESAR JUNIOR, R. M. ; CREE, M	Qualis nao identificado	APRS Workshop on Digital Image Computing - Pattern Recognition and Imaging for Medical Applications
trabalhoCompletoEmCongresso	Roberto Marcondes Cesar Junior	2005		Automatic Face Recognition System Based on Local Fourier-Bessel Feature	Brazilian Symposium on Computer Graphics	ZANA, Yossi ; CESAR JUNIOR, R. M. ; BARBOSA, R	Qualis nao identificado	Brazilian Symposium on Computer Graphics
trabalhoCompletoEmCongresso	Roberto Marcondes Cesar Junior	2005		Quadtree-based Inexact Graph Matching for Image Analysis	Brazilian Symposium on Computer Graphics	CONSULARO, L.a. ; CESAR JUNIOR, R. M.	Qualis nao identificado	Brazilian Symposium on Computer Graphics
trabalhoCompletoEmCongresso	Roberto Marcondes Cesar Junior	2005		Tracking and Matching Connected Components from 3D Video	Brazilian Symposium on Computer Graphics	PIRES, D S ; CESAR JUNIOR, R. M. ; VIEIRA, M B ; VELHO, L	Qualis nao identificado	Brazilian Symposium on Computer Graphics
trabalhoCompletoEmCongresso	Roberto Marcondes Cesar Junior	2005		Fuzzy modeling and evaluation of the spatial relation Along	X Iberoamerican Congress on Pattern Recognition	TAKEMURA, Celina Maki ; CESAR JUNIOR, R. M. ; BLOCH, Isabelle	B2	Iberoamerican Congress on Pattern Recognition
trabalhoCompletoEmCongresso	Roberto Marcondes Cesar Junior	2005		Automatic Window Design for Gray-Scale Image Processing Based on Entropy Minimization	X Iberoamerican Congress on Pattern Recognition	MARTINS JR, D C ; CESAR JUNIOR, R. M. ; BARRERA, J	B2	Iberoamerican Congress on Pattern Recognition
trabalhoCompletoEmCongresso	Roberto Marcondes Cesar Junior	2005		Face Verification in Polar Frequency Domain: a Biologically Motivated Approach	International Symposium on Visual Computing	ZANA, Yossi ; CESAR JUNIOR, R. M. ; FERIS, Rogério S. ; TURK, Matthew	Qualis nao identificado	International Symposium on Visual Computing
trabalhoCompletoEmCongresso	Roberto Marcondes Cesar Junior	2005		Redução de dimensionalidade utilizando entropia condicional média: aplicações em filtragem de imagens e em reconhecimento de texturas	Workshop de Teses e Dissertações	MARTINS JR, D C ; CESAR JUNIOR, R. M. ; BARRERA, J	Qualis nao identificado	Workshop de Teses e Dissertações
trabalhoCompletoEmCongresso	Roberto Marcondes Cesar Junior	2005		Using the 2-D Morlet Wavelet with Supervised Classification for Retinal Vessel Segmentation	Workshop de Teses e Dissertações	SOARES, J. V. B. ; LEANDRO, J. J. G. ; CESAR JUNIOR, R. M. ; JELINEK, H. ; CREE, M	Qualis nao identificado	Workshop de Teses e Dissertações
trabalhoCompletoEmCongresso	Roberto Marcondes Cesar Junior	2005		Audio-based radio and TV broadcast monitoring	WebMedia '05 - 11th Brazilian Symposium on Multimedia and the web	OLIVEIRA, B ; CRIVELLARO, A ; CESAR JUNIOR, R. M.	B3	Brazilian Symposium on Multimedia and the Web
trabalhoCompletoEmCongresso	Roberto Marcondes Cesar Junior	2004		W-operator Window Design by Maximization of Training Data Information	Brazilian Symposium on Computer Graphics	CESAR JUNIOR, R. M.; MARTINS JR, D C ; BARRERA, J	Qualis nao identificado	Brazilian Symposium on Computer Graphics
trabalhoCompletoEmCongresso	Roberto Marcondes Cesar Junior	2004		Análise de formas representadas por marcos utilizando características mono e multiescala	Workshop de Teses e Dissertações	CESAR JUNIOR, R. M.; TAKEMURA, Celina Maki	Qualis nao identificado	Workshop de Teses e Dissertações
trabalhoCompletoEmCongresso	Roberto Marcondes Cesar Junior	2004		Modelisation de la relation spatiale entre partir de notions de convexit et de visibilit floue	Rencontres francophones sur la Logique Floue et ses Applications LFA 04	BLOCH, Isabelle ; COLLIOT, O ; CESAR JUNIOR, R. M.	Qualis nao identificado	Rencontres francophones sur la Logique Floue et ses Applications LFA 04
trabalhoCompletoEmCongresso	Roberto Marcondes Cesar Junior	2004		Development of retinal blood vessel segmentation methodology using wavelet transforms assesment of diabetic retinopathy	8th Asia Pacific Symposium on Intelligent and Evolutionary Systems	CORNFORTH, D. ; JELINEK, H. ; LEANDRO, J. J. G. ; SOARES, J. V. B. ; CESAR JUNIOR, R. M. ; CREE, M ; MITCHELL, P ; BOSSOMAIER, T	Qualis nao identificado	8th Asia Pacific Symposium on Intelligent and Evolutionary Systems
trabalhoCompletoEmCongresso	Roberto Marcondes Cesar Junior	2003		Blood Vessels Segmentation in Non-Mydriatic Images using Wavelets and Statistical Classifiers	Brazilian Conference on Computer Graphics	CESAR JUNIOR, R. M.; JELINEK, H. ; LEANDRO, J. J. G. ; SOARES, J. V. B.	Qualis nao identificado	Brazilian Conference on Computer Graphics
trabalhoCompletoEmCongresso	Roberto Marcondes Cesar Junior	2003		Characterization of neuroanatomic structures using 3d wavelet-based normal fields	Seventh International Symposium on Signal Processing and its Applications - ISSPA 2003	PINTO, S. C. D. ; CESAR JUNIOR, R. M. ; COSTA, L. da F.	Qualis nao identificado	Seventh International Symposium on Signal Processing and its Applications - ISSPA 2003
trabalhoCompletoEmCongresso	Roberto Marcondes Cesar Junior	2003		Inexact Graph Matching for Facial Feature Segmentation and Recognition in Vide o Sequences: Results on Face Tracking	8th Iberoamerican Congress on Pattern Recognition - CIARP´03	GRACIANO, A B V ; CESAR JUNIOR, R. M. ; BLOCH, Isabelle	B2	Iberoamerican Congress on Pattern Recognition
trabalhoCompletoEmCongresso	Roberto Marcondes Cesar Junior	2003		Homomorfismo entre Grafos para Segmentação e Reconhecimento de Características Faciais em Sequências de Vídeo: Resultados Preliminares	Brazilian Conference on Computer Graphics	GRACIANO, A B V ; CESAR JUNIOR, R. M. ; BLOCH, Isabelle	Qualis nao identificado	Brazilian Conference on Computer Graphics
trabalhoCompletoEmCongresso	Roberto Marcondes Cesar Junior	2002		Shape Analysis and Classification using Landmarks: Polygonal Wavelet Transform	European Conference on Artificial Intelligence - ECAI	CESAR JUNIOR, R. M.; TAKEMURA, Celina Maki	A2	European Conference on Artificial Inteligence
trabalhoCompletoEmCongresso	Roberto Marcondes Cesar Junior	2002		Inexact Graph Matching using Stochastic Optimization Techniques for Facial Feature Recognition	16th International Conference on Pattern Recognition	CESAR JUNIOR, R. M.; BLOCH, Isabelle ; BENGOETXEA, E.	A1	International Conference on Pattern Recognition
trabalhoCompletoEmCongresso	Roberto Marcondes Cesar Junior	2002		3D Morphological Analysis of Brain MRI using Wavelets	14th International Conference on Digital Signal Processing (DSP2002)	CESAR JUNIOR, R. M.; COSTA, L. da F. ; PINTO, S. C. D.	A2	International Conference on Digital Signal Processing
trabalhoCompletoEmCongresso	Roberto Marcondes Cesar Junior	2002		MicroMod: an L-systems approach to neuron modelling	The Sixth Australia-Japan Joint Workshop	CESAR JUNIOR, R. M.; JELINEK, H. ; LEANDRO, J. J. G. ; KARPERIEN, A. ; CORNFORTH, D.	Qualis nao identificado	The Sixth Australia-Japan Joint Workshop
trabalhoCompletoEmCongresso	Roberto Marcondes Cesar Junior	2002		From Microarray Images to Biological Knowledge	Second Brazilian Symposium on Mathematical and Computational Biology	CESAR JUNIOR, R. M.; BARRERA, J. ; DANTAS, D. O. ; MARTINS JR, D C ; TREPODE, N. W.	Qualis nao identificado	Second Brazilian Symposium on Mathematical and Computational Biology
trabalhoCompletoEmCongresso	Roberto Marcondes Cesar Junior	2002		Efficient Real-time Face Tracking in Wavelet Space	Workshop de Teses e Dissertações - WTD - XXII Congresso da SBC - SBC2002	FERIS, Rogério S. ; CESAR JUNIOR, R. M.	Qualis nao identificado	Workshop de Teses e Dissertações - WTD - XXII Congresso da SBC - SBC2002
trabalhoCompletoEmCongresso	Roberto Marcondes Cesar Junior	2002		Advances on Feature Selection Techniques with Applications to Face Recognition	Workshop de Teses e Dissertações - WTD - XXII Congresso da SBC - SBC2002	CAMPOS, T. E. ; CESAR JUNIOR, R. M.	Qualis nao identificado	Workshop de Teses e Dissertações - WTD - XXII Congresso da SBC - SBC2002
trabalhoCompletoEmCongresso	Roberto Marcondes Cesar Junior	2001		Locating and Tracking Facial Landmarks Using Gabor Wavelet Networks	ICAPR'2001 - International Conference on Advances in Pattern Recognition	CESAR JUNIOR, R. M.; FERIS, Rogerio S.	Qualis nao identificado	ICAPR'2001 - International Conference on Advances in Pattern Recognition
trabalhoCompletoEmCongresso	Roberto Marcondes Cesar Junior	2001		Feature Selection Based on Fuzzy Distances Between Clusters: First Results on Simulated Data	ICAPR'2001 International Conference on Advances in Pattern Recognition	CESAR JUNIOR, R. M.; T. E. Campos ; BLOCH, Isabelle	Qualis nao identificado	ICAPR'2001 International Conference on Advances in Pattern Recognition
trabalhoCompletoEmCongresso	Roberto Marcondes Cesar Junior	2001		Efficient Real-Time Face Tracking in Wavelet Subspace	Second International Workshop on Recognition	CESAR JUNIOR, R. M.; FERIS, Rogerio S. ; KRÜGER, V.	Qualis nao identificado	Second International Workshop on Recognition
trabalhoCompletoEmCongresso	Roberto Marcondes Cesar Junior	2001		Blood Vessels Segmentation in Retina: Preliminary Assessment of the Mathematical Morphology and of the Wavelet Transform Techniques	Brazilian Conference on Computer Graphics	CESAR JUNIOR, R. M.; LEANDRO, J. J. G. ; JELINEK, H.	Qualis nao identificado	Brazilian Conference on Computer Graphics
trabalhoCompletoEmCongresso	Roberto Marcondes Cesar Junior	2001		Time Series Inference from Clustering	Spie Microarrays: Optical Technologies and Informatics	CESAR JUNIOR, R. M.; DOUGHERTY, E. R. ; BARRERA, J. ; BRUN, M. ; KIM, S. ; CHEN, Y. ; BITTNER, M. ; TRENT, J. M.	Qualis nao identificado	Spie Microarrays: Optical Technologies and Informatics
trabalhoCompletoEmCongresso	Roberto Marcondes Cesar Junior	2001		First Results on Facial Feature Segmentation and Recognition using Graph Homomorphisms	VI Simpósio Ibero-Americano de Reconhecimento de Padrões	CESAR JUNIOR, R. M.; BLOCH, Isabelle	Qualis nao identificado	VI Simpósio Ibero-Americano de Reconhecimento de Padrões
trabalhoCompletoEmCongresso	Roberto Marcondes Cesar Junior	2001		Design, Implementation, and Application of a Parallel Image Laboratory	VI Simpósio Ibero-Americano de Reconhecimento de Padrões	CESAR JUNIOR, R. M.; COSTA, L. da F. ; CONSULARO, L.a. ; O. M. Bruno	Qualis nao identificado	VI Simpósio Ibero-Americano de Reconhecimento de Padrões
trabalhoCompletoEmCongresso	Roberto Marcondes Cesar Junior	2000		Eigenfaces versus Eygeneyes: First Steps Toward Performance Assessment of Representations for Face Recognition	International Mexican Conference on Artificial Intelligence	CESAR JUNIOR, R. M.; FERIS, Rogerio S. ; T. E. Campos	A1	International Joint Conference on Artificial Inteligence
trabalhoCompletoEmCongresso	Roberto Marcondes Cesar Junior	2000		Detection and Tracking of Facial Features in Video Sequences	Proc. International Mexican Conference on Artificial Intelligence	CESAR JUNIOR, R. M.; FERIS, Rogerio S. ; T. E. Campos	Qualis nao identificado	Proc. International Mexican Conference on Artificial Intelligence
trabalhoCompletoEmCongresso	Roberto Marcondes Cesar Junior	2000		Tracking Facial Features Using Gabor Wavelet Networks	SIBGRAPI'2000	CESAR JUNIOR, R. M.; FERIS, Rogerio S.	Qualis nao identificado	SIBGRAPI'2000
trabalhoCompletoEmCongresso	Roberto Marcondes Cesar Junior	2000		A Framework for Face Recognition from Video Sequences Using GWN and Eigenfeature Selection	WAICV'2000 - SBIA'2000 - IBERAMIA'2000	CESAR JUNIOR, R. M.; FERIS, Rogerio S. ; T. E. Campos	Qualis nao identificado	WAICV'2000 - SBIA'2000 - IBERAMIA'2000
trabalhoCompletoEmCongresso	Roberto Marcondes Cesar Junior	2000		Improved Face X Non-Face Discrimination Using Fourier Descriptors Through Feature Selection	13th SIBGRAPI	CESAR JUNIOR, R. M.; T. E. Campos	Qualis nao identificado	13th SIBGRAPI
trabalhoCompletoEmCongresso	Roberto Marcondes Cesar Junior	2000		Reconhecimento Computacional de Pessoas	SEMAC - Semana da Computação - IBILCE/UNESP -	CESAR JUNIOR, R. M.; T. E. Campos ; FERIS, Rogerio S.	Qualis nao identificado	SEMAC - Semana da Computação - IBILCE/UNESP -
resumoExpandidoEmCongresso	Roberto Marcondes Cesar Junior	2014	Modeling and recognition of structured objects: a statistical-relational approach	Workshop FEAST - ICPR 2014, 2014, Stockholm. Proc. Workshop FEAST - ICPR 2014	Graciano, Ana B.V. ; Cesar Jr, Roberto M. ; BLOCH, Isabelle	Qualis nao identificado	Workshop FEAST - ICPR 2014, 2014, Stockholm. Proc. Workshop FEAST - ICPR 2014
resumoExpandidoEmCongresso	Roberto Marcondes Cesar Junior	2014	A graph-based approach for object detection and action recognition in videos	Workshop FEAST - ICPR 2014, 2014, Stockholm. Proc. Workshop FEAST - ICPR 2014	MORIMITSU, H. ; Cesar Jr, Roberto M. ; BLOCH, Isabelle	Qualis nao identificado	Workshop FEAST - ICPR 2014, 2014, Stockholm. Proc. Workshop FEAST - ICPR 2014
resumoExpandidoEmCongresso	Roberto Marcondes Cesar Junior	2008	Automatic Contour Extraction Of Neurons In Presence Of Overlap	3rd Workshop on Bio-Image Informatics: Biological Imaging, Computer Vision and Data Mining, 2008, 2008, Santa Barbara, CA. 3rd Workshop on Bio-Image Informatics: Biological Imaging, Computer Vision and Data Mining, 2008	LEANDRO, J. J. G. ; CESAR JUNIOR, R. M. ; COSTA, L F	Qualis nao identificado	3rd Workshop on Bio-Image Informatics: Biological Imaging, Computer Vision and Data Mining, 2008, 2008, Santa Barbara, CA. 3rd Workshop on Bio-Image Informatics: Biological Imaging, Computer Vision and Data Mining, 2008
resumoExpandidoEmCongresso	Roberto Marcondes Cesar Junior	2008	AGN Simulation and Validation Model	III Brazilian Symposium on Bioinformatics, 2008. Lecture Notes in Computer Science	LOPES, Fabrício Martins ; CESAR JUNIOR, R. M. ; COSTA, L. F.	B4	Brazilian Symposium on Bioinformatics
resumoExpandidoEmCongresso	Roberto Marcondes Cesar Junior	2004	A New Annotation Tool For Malaria Based On Inference Of Probabilistic Genetic Networks	Fifth International Conference for the Critical Assessment of Microarray Data Analysis (CAMDA 2004), 2004, Durham. Proc. Fifth International Conference for the Critical Assessment of Microarray Data Analysis (CAMDA 2004)	BARRERA, J ; CESAR JUNIOR, R. M. ; MARTINS JR, D C ; MERINO, e F ; VENCIO, R Z N ; LEONARDI, F G ; YAMAMOTO, M M ; PEREIRA, C A B ; PORTILLO, H A Del	Qualis nao identificado	Fifth International Conference for the Critical Assessment of Microarray Data Analysis (CAMDA 2004), 2004, Durham. Proc. Fifth International Conference for the Critical Assessment of Microarray Data Analysis (CAMDA 2004)
artigoEmPeriodico	Jesus Pascual Mena Chalco	2017	http://dx.doi.org/10.1590/1516-731320170020006	(Inter)disciplinaridade e transversalidades: o projeto de formação superior da Universidade Federal do ABC	Ciência e Educação (UNESP)	XAVIER, A. M. ; STEIL, L. J. ; MENA-CHALCO, J. P.	Qualis nao identificado	Ciência e Educação (UNESP)
artigoEmPeriodico	Jesus Pascual Mena Chalco	2017	http://dx.doi.org/10.1002/asi.23635	Scholarly publication and collaboration in Brazil: The role of geography	Journal of the Association for Information Science and Technology	SIDONE, OTÁVIO JOSÉ GUERCI ; HADDAD, EDUARDO AMARAL ; MENA-CHALCO, JESÚS PASCUAL	A1	
artigoEmPeriodico	Jesus Pascual Mena Chalco	2017	http://dx.doi.org/10.1016/j.joi.2017.04.001	Genealogical index: A metric to analyze advisor-advisee relationships	Journal of Informetrics	ROSSI, L. ; FREIRE, I. L. ; MENA-CHALCO, J. P.	B2	Journal of Informatrics
artigoEmPeriodico	Jesus Pascual Mena Chalco	2017		Produção Científica e Redes de Colaboração dos Docentes Vinculados aos Programas de Pós-graduação em Economia no Brasil	ESTUDOS ECONÔMICOS	HADDAD, E. A. ; MENA-CHALCO, J. P. ; SIDONE, O. J. G.	Qualis nao identificado	ESTUDOS ECONÔMICOS
artigoEmPeriodico	Jesus Pascual Mena Chalco	2017		Scholarly Collaboration in Regional Science in Developing Countries: The Case of the Brazilian REAL Network	INTERNATIONAL REGIONAL SCIENCE REVIEW	HADDAD, E. A. ; MENA-CHALCO, J. P. ; SIDONE, O. J. G.	Qualis nao identificado	INTERNATIONAL REGIONAL SCIENCE REVIEW
artigoEmPeriodico	Jesus Pascual Mena Chalco	2017		Artigos em Periódicos de Acesso Aberto: um Estudo com Pesquisadores Bolsistas de Produtividade do CNPq	RECIIS - Revista Eletrônica de Comunicação, Informação & Inovação em Saúde	LETA, J. ; COSTA, E. H. S. ; MENA-CHALCO, J. P.	Qualis nao identificado	RECIIS - Revista Eletrônica de Comunicação, Informação & Inovação em Saúde
artigoEmPeriodico	Jesus Pascual Mena Chalco	2016	http://dx.doi.org/10.1590/0074-02760150386	The dynamics of Brazilian protozoology over the past century	Memórias do Instituto Oswaldo Cruz (Online)	ELIAS, M. C. ; WINTER, L. M. F. ; MENA-CHALCO, J. P.	Qualis nao identificado	Memórias do Instituto Oswaldo Cruz (Online)
artigoEmPeriodico	Jesus Pascual Mena Chalco	2016	http://dx.doi.org/10.1590/2318-08892016002800006	Exploração da Plataforma Lattes por assunto: proposta de metodologia	Transinformacao	BRITO, ALINE GRASIELE CARDOSO DE ; QUONIAM, LUC ; MENA-CHALCO, JESÚS PASCUAL	Qualis nao identificado	Transinformacao
artigoEmPeriodico	Jesus Pascual Mena Chalco	2016		Funded projects on dengue fever in brazil: use of the scriptlattes tool to support the planning of public health research	Espacios (Caracas)	MOTTA, L. J. ; FERRAZ, R. R. N. ; QUONIAM, L. ; MENA-CHALCO, J. P.	Qualis nao identificado	Espacios (Caracas)
artigoEmPeriodico	Jesus Pascual Mena Chalco	2016	http://dx.doi.org/10.1590/2318-08892016002800002	A ciência nas regiões brasileiras: evolução da produção e das redes de colaboração científica	Transinformacao	SIDONE, OTÁVIO JOSÉ GUERCI ; HADDAD, EDUARDO AMARAL ; MENA-CHALCO, JESÚS PASCUAL	Qualis nao identificado	Transinformacao
artigoEmPeriodico	Jesus Pascual Mena Chalco	2015	http://dx.doi.org/10.1016/j.cag.2015.02.009	Facing the High-dimensions: Inverse Projection with Radial Basis Functions	Computers & Graphics	AMORIM, ELISA ; BRAZIL, EMILIO VITAL ; MENA-CHALCO, JESÚS ; VELHO, LUIZ ; NONATO, LUIS GUSTAVO ; SAMAVATI, FARAMARZ ; SOUSA, MARIO COSTA	B1	
artigoEmPeriodico	Jesus Pascual Mena Chalco	2015	http://dx.doi.org/10.1371/journal.pone.0129065	Analysis of an Advisor-Advisee Relationship: An Exploratory Study of the Area of Exact and Earth Sciences in Brazil	Plos One	TUESTA, E. F. ; DELGADO, K. V. ; MUGNAINI, R. ; DIGIAMPIETRI, L. A. ; MENA-CHALCO, J. P. ; PEREZ-ALCAZAR, J.	A1	
artigoEmPeriodico	Jesus Pascual Mena Chalco	2015	http://dx.doi.org/10.1590/1981-5344/2434	Perfil de produção acadêmica dos programas brasileiros de pós-graduação em Ciência da Informação 2008-2012	Perspectivas em Ciência da Informação (Online)	AUTRAN, M. M. M. ; BORGES, M. M. ; MENA-CHALCO, J. P. ; PINHEIRO, V. G.	B4	Ciência da Informação (Online)
artigoEmPeriodico	Jesus Pascual Mena Chalco	2015	http://dx.doi.org/10.5007/1518-2924.2015v20n43p93	Extração e disponibilização on line de indicadores de desempenho e prospecção dos resultados das pesquisas em dengue com a utilização da ferramenta computacional Scriptlattes	Encontros Bibli	FERRAZ, R. R. ; QUONIAM, L. M. ; PIMENTA, D. N. ; MENA-CHALCO, J. P. ; NIGRO, C. A.	C	
artigoEmPeriodico	Jesus Pascual Mena Chalco	2015		O envelhecimento na sociologia brasileira contemporânea: notas preliminares	Revista Kairós (Online)	PEDRO, W. J. A. ; MENA-CHALCO, J. P.	Qualis nao identificado	Revista Kairós (Online)
artigoEmPeriodico	Jesus Pascual Mena Chalco	2014	http://dx.doi.org/10.1371/journal.pone.0094541	BraX-Ray: An X-Ray of the Brazilian Computer Science Graduate Programs	Plos One	DIGIAMPIETRI, LUCIANO A. ; MENA-CHALCO, JESÚS P. ; VAZ DE MELO, PEDRO O. S. ; MALHEIRO, ANA P. R. ; MEIRA, DÂNIA N. O. ; FRANCO, LARYSSA F. ; OLIVEIRA, LEONARDO B.	A1	
