artigoEmPeriodico	Roberto Marcondes Cesar Junior	2017	http://dx.doi.org/10.1016/j.cviu.2016.12.003	Exploring structure for long-term tracking of multiple objects in sports videos	COMPUTER VISION AND IMAGE UNDERSTANDING	MORIMITSU, H. ; BLOCH, Isabelle ; Cesar Jr, Roberto M.	A1	Computer Vision and Image Understanding (Print)
artigoEmPeriodico	Jesus Pascual Mena Chalco	2014	http://dx.doi.org/10.1590/0103-3786201400030002	Comunicação científica no Brasil (1998-2012): indexação, crescimento, fluxo e dispersão	Transinformação	MUGNAINI, R. ; DIGIAMPIETRI, L. A. ; MENA-CHALCO, J. P.	C	
artigoEmPeriodico	Jesus Pascual Mena Chalco	2014		Redes de colaboração acadêmica: Um estudo de caso da produção bibliográfica da UFABC	Revista Interciente	MENA-CHALCO, J. P.; DALPIAN, G. M. ; CAPELLE, K.	Qualis nao identificado	Revista Interciente
artigoEmPeriodico	Jesus Pascual Mena Chalco	2014		Análise macro das últimas atualizações dos Currículos Lattes	Em Questão	DIGIAMPIETRI, L. A. ; MUGNAINI, R. ; MENA-CHALCO, J. P. ; DELGADO, K. V. ; PEREZ-ALCAZAR, J.	Qualis nao identificado	Em Questão
artigoEmPeriodico	Jesus Pascual Mena Chalco	2014	http://dx.doi.org/10.5433/1981-8920.2014v19n3p30	Extração e tratamento de dados na base lattes para identificação de core competencies em dengue	Informação & Informação (UEL. Online)	MAGALHAES, J. L. ; QUONIAM, L. ; MENA-CHALCO, J. P. ; SANTOS, A.	C	
artigoEmPeriodico	Jesus Pascual Mena Chalco	2014	http://dx.doi.org/10.1002/asi.23010	Brazilian bibliometric coauthorship networks	Journal of the Association for Information Science and Technology	MENA-CHALCO, JESÚS PASCUAL ; DIGIAMPIETRI, LUCIANO ANTONIO ; LOPES, Fabrício M. ; CESAR JUNIOR, R. M.	A1	
artigoEmPeriodico	Jesus Pascual Mena Chalco	2012		Perfil de produção acadêmica dos programas brasileiros de pós-graduação em Ciência da Computação nos triênios 2004-2006 e 2007-2009	Em Questão (UFRGS. Impresso)	MENA-CHALCO, J. P.; DIGIAMPIETRI, L. A. ; OLIVEIRA, Leonardo B.	C	
artigoEmPeriodico	Jesus Pascual Mena Chalco	2011	http://dx.doi.org/10.1016/j.entcs.2011.11.031	Robust Range Finder Through a Laser Pointer and a Webcam	Electronic Notes in Theoretical Computer Science	Portugal-Zambrano, Christian E. ; MENA-CHALCO, JESÚS P.	B1	
artigoEmPeriodico	Jesus Pascual Mena Chalco	2009	http://dx.doi.org/10.1590/S0100-879X2009000700008	A Novel Polar-based Human Face Recognition Computational Model	Brazilian Journal of Medical and Biological Research (Impresso)	ZANA, Y. ; MENA-CHALCO, J. P. ; CESAR JUNIOR, R. M.	B2	
artigoEmPeriodico	Jesus Pascual Mena Chalco	2009	http://dx.doi.org/10.1007/s00371-009-0373-x	3D Face Computational Photography Using PCA Spaces	The Visual Computer	Mena-Chalco, Jesús P. ; Macêdo, Ives ; Velho, Luiz ; Cesar, Roberto M.	B1	
artigoEmPeriodico	Jesus Pascual Mena Chalco	2009	http://dx.doi.org/10.1590/S0104-65002009000400004	scriptLattes: an open-source knowledge extraction system from the Lattes platform	Journal of the Brazilian Computer Society (Impresso)	Mena-Chalco, Jesús Pascual ; Cesar Junior, Roberto Marcondes	B2	
artigoEmPeriodico	Jesus Pascual Mena Chalco	2008	http://dx.doi.org/10.1109/TCBB.2007.70259	Identification of protein coding regions using the modified Gabor-wavelet transform	IEEE/ACM Transactions on Computational Biology and Bioinformatics (Print)	MENA-CHALCO, J. P.; CARRER, H. ; ZANA, Y. ; CESAR JUNIOR, R. M.	A2	
trabalhoCompletoEmCongresso	Jesus Pascual Mena Chalco	2017	http://dx.doi.org/10.13140/RG.2.1.5183.8561	Genealogia acadêmica dos doutores atuantes em matemática: um mapeamento macro na ciência brasileira	Congresso Nacional de Matemática Aplicada e Computacional	ROSSI, L. ; FREIRE, I. L. ; DAMACENO, R. J. P. ; MENA-CHALCO, J. P.	B4	
trabalhoCompletoEmCongresso	Jesus Pascual Mena Chalco	2017		Identificação do grafo de genealogia acadêmica de pesquisadores: Uma abordagem baseada na Plataforma Lattes	BRAZILIAN SYMPOSIUM ON DATABASES (SBBD 2017)	DAMACENO, R. J. P. ; ROSSI, L. ; MENA-CHALCO, J. P.	Qualis nao identificado	BRAZILIAN SYMPOSIUM ON DATABASES (SBBD 2017)
trabalhoCompletoEmCongresso	Jesus Pascual Mena Chalco	2017		Identificação da Rede Nacional de Pesquisadores na área de Prevenção de Drogas em Contextos Educacionais	Congresso Internacional Abramd	BERNARDO, J. F. ; PINHEIRO, B. O. ; MENA-CHALCO, J. P. ; MICHELI, D.	Qualis nao identificado	Congresso Internacional Abramd
trabalhoCompletoEmCongresso	Jesus Pascual Mena Chalco	2016	http://dx.doi.org/10.13140/RG.2.1.2416.6008	Caracterização de pesquisadores utilizando indicadores bibliométricos de senioridade e inatividade: um estudo de caso dos Bolsistas de Produtividade 1A-CNPq	5º Encontro Brasileiro de Bibliometria e Cientometria	AKAZAKI, J. M. ; BUENO, L. R. ; MENA-CHALCO, J. P.	Qualis nao identificado	5º Encontro Brasileiro de Bibliometria e Cientometria
trabalhoCompletoEmCongresso	Jesus Pascual Mena Chalco	2016	http://dx.doi.org/10.1145/3033701.3033703	Acessibilidade de Dispositivos Móveis: Mapeamento de Problemas e Estudo de Gestos de Toque	XV Brazilian Symposium on Human Factors in Computer Systems (IHC 2016)	DAMACENO, R. J. P. ; BRAGA, J. C. ; MENA-CHALCO, J. P.	B4	IHC
trabalhoCompletoEmCongresso	Jesus Pascual Mena Chalco	2016		Caracterização das redes de convites de bancas de defesa de teses e dissertações do Brasil	XVII Encontro Nacional de Pesquisa em Pós-Graduação em Ciência da Informação	RAMOS, D. F. S. ; MENA-CHALCO, J. P.	Qualis nao identificado	XVII Encontro Nacional de Pesquisa em Pós-Graduação em Ciência da Informação
trabalhoCompletoEmCongresso	Jesus Pascual Mena Chalco	2015	http://dx.doi.org/10.13140/RG.2.1.3373.4241	Índice-h genealógico expandido: Uma medida de impacto em grafos de orientação acadêmica	Workshop on Social Network Analysis and Mining (BraSNAM 2015)	ROSSI, L. ; MENA-CHALCO, J. P.	Qualis nao identificado	Workshop on Social Network Analysis and Mining (BraSNAM 2015)
trabalhoCompletoEmCongresso	Jesus Pascual Mena Chalco	2015		Scholarly Collaboration in Regional Science in Developing Countries: The Case of the Brazilian REAL Network	XIII Encontro Nacional da Associação Brasileira de Estudos Regionais e Urbanos	HADDAD, E. A. ; MENA-CHALCO, J. P. ; SIDONE, O. J. G.	Qualis nao identificado	XIII Encontro Nacional da Associação Brasileira de Estudos Regionais e Urbanos
trabalhoCompletoEmCongresso	Jesus Pascual Mena Chalco	2015	http://dx.doi.org/10.13140/RG.2.1.3616.9688	A coautoria acadêmica interprogramas da pós-graduação em ciência da informação: Uma análise baseada em métricas em grafos	XVI Encontro Nacional de Pesquisa em Pós-Graduação em Ciência da Informação	AUTRAN, M. M. M. ; BORGES, M. M. ; MENA-CHALCO, J. P.	Qualis nao identificado	XVI Encontro Nacional de Pesquisa em Pós-Graduação em Ciência da Informação
trabalhoCompletoEmCongresso	Jesus Pascual Mena Chalco	2015		O QUALIS/CAPES como indicador qualitativo de comunicação da ciência: análise da produção acadêmica dos programas de pós-graduação em Ciência da Informação	VII Encuentro Ibérico - EDICIC 2015	AUTRAN, M. M. M. ; BORGES, M. M. ; MENA-CHALCO, J. P. ; PINHEIRO, V. G.	Qualis nao identificado	VII Encuentro Ibérico - EDICIC 2015
trabalhoCompletoEmCongresso	Jesus Pascual Mena Chalco	2014	http://dx.doi.org/10.13140/RG.2.1.4159.8569	Caracterização de árvores de genealogia acadêmica por meio de métricas em grafos	Brazilian Workshop on Social Network Analysis and Mining (BraSNAM)	ROSSI, L. ; MENA-CHALCO, J. P.	Qualis nao identificado	Brazilian Workshop on Social Network Analysis and Mining (BraSNAM)
trabalhoCompletoEmCongresso	Jesus Pascual Mena Chalco	2014	http://dx.doi.org/10.13140/RG.2.1.3635.5681	Comunicação científica no Brasil (1998-2012): infraestrutura nacional e internacionalização	XIII Congreso Internacional de Información INFO´2014	MUGNAINI, R. ; DIGIAMPIETRI, L. A. ; MENA-CHALCO, J. P.	Qualis nao identificado	XIII Congreso Internacional de Información INFO´2014
trabalhoCompletoEmCongresso	Jesus Pascual Mena Chalco	2014	http://dx.doi.org/10.13140/RG.2.1.2062.7046	Caracterização do banco de teses e dissertações da CAPES	4º Encontro Brasileiro de Bibliometria e Cientometria - EBBC	MENA-CHALCO, J. P.; ROCHA, V.	Qualis nao identificado	4º Encontro Brasileiro de Bibliometria e Cientometria - EBBC
trabalhoCompletoEmCongresso	Jesus Pascual Mena Chalco	2014	http://dx.doi.org/10.13140/RG.2.1.4290.9283	Análise da atualização dos currículos lattes: Uma análise macro sobre as datas das últimas atualizações dos currículos Lattes	4º Encontro Brasileiro de Bibliometria e Cientometria - EBBC	DIGIAMPIETRI, L. A. ; MUGNAINI, R. ; MENA-CHALCO, J. P. ; DELGADO, K. V. ; PEREZ-ALCAZAR, J.	Qualis nao identificado	4º Encontro Brasileiro de Bibliometria e Cientometria - EBBC
trabalhoCompletoEmCongresso	Jesus Pascual Mena Chalco	2013	http://dx.doi.org/10.13140/RG.2.1.3897.7120	Correlation among the scientific production, supervisions and participation in defense examination committees in the Brazilian physicists community	14th International Society of Scientometrics and Informetrics Conference	MUGNAINI, R. ; DIGIAMPIETRI, L. A. ; MENA-CHALCO, J. P.	Qualis nao identificado	14th International Society of Scientometrics and Informetrics Conference
trabalhoCompletoEmCongresso	Jesus Pascual Mena Chalco	2013	http://dx.doi.org/10.1109/eScience.2013.32	Using Link Prediction to Estimate the Collaborative Influence of Researchers	2013 IEEE 9th International Conference on eScience (eScience)	PEREZ-CERVANTES, EVELYN ; MENA-CHALCO, JESUS P. ; OLIVEIRA, MARIA CRISTINA F. DE ; CESAR, ROBERTO	B1	eScience
trabalhoCompletoEmCongresso	Jesus Pascual Mena Chalco	2012	http://dx.doi.org/10.13140/RG.2.1.2849.1364	Caracterizando as redes de coautoria de currículos Lattes	Brazilian Workshop on Social Network Analysis and Mining (BraSNAM)	MENA-CHALCO, J. P.; DIGIAMPIETRI, L. A. ; CESAR JUNIOR, R. M.	Qualis nao identificado	Brazilian Workshop on Social Network Analysis and Mining (BraSNAM)
trabalhoCompletoEmCongresso	Jesus Pascual Mena Chalco	2012	http://dx.doi.org/10.13140/RG.2.1.1007.8164	Minerando e Caracterizando Dados de Currículos Lattes	Brazilian Workshop on Social Network Analysis and Mining (BraSNAM)	DIGIAMPIETRI, L. A. ; MENA-CHALCO, J. P. ; ALCÁZAR, J. J. P. ; TUESTA, E. F. ; DELGADO, K. V. ; MUGNAINI, R. ; SILVA, G. S.	Qualis nao identificado	Brazilian Workshop on Social Network Analysis and Mining (BraSNAM)
trabalhoCompletoEmCongresso	Jesus Pascual Mena Chalco	2012	http://dx.doi.org/10.13140/RG.2.1.3438.9604	Dinâmica das Relações de Coautoria nos Programas de Pós-Graduação em Computação no Brasil	Brazilian Workshop on Social Network Analysis and Mining (BraSNAM)	DIGIAMPIETRI, L. A. ; MENA-CHALCO, J. P. ; SILVA, G. S. ; OLIVEIRA, L. B. ; MALHEIRO, A. P. R. ; MEIRA, D. N. O.	Qualis nao identificado	Brazilian Workshop on Social Network Analysis and Mining (BraSNAM)
trabalhoCompletoEmCongresso	Jesus Pascual Mena Chalco	2012	http://dx.doi.org/10.13140/RG.2.1.3307.8880	Análise temporal da relação orientador-orientado: um estudo de caso sobre a produtividade dos pesquisadores doutores da área de Ciência da Computação	Brazilian Workshop on Social Network Analysis and Mining (BraSNAM)	TUESTA, E. F. ; DELGADO, K. V. ; DIGIAMPIETRI, L. A. ; ALCÁZAR, J. J. P. ; MUGNAINI, R. ; MENA-CHALCO, J. P.	Qualis nao identificado	Brazilian Workshop on Social Network Analysis and Mining (BraSNAM)
trabalhoCompletoEmCongresso	Jesus Pascual Mena Chalco	2012	http://dx.doi.org/10.13140/RG.2.1.4946.2886	Perfil de Produção Bibliográfica dos Programas Brasileiros de Pós-Graduação em Ciência da Computação	3º Encontro Brasileiro de Bibliometria e Cientometria - EBBC	MENA-CHALCO, J. P.; DIGIAMPIETRI, L. A. ; OLIVEIRA, L. B.	Qualis nao identificado	3º Encontro Brasileiro de Bibliometria e Cientometria - EBBC
trabalhoCompletoEmCongresso	Jesus Pascual Mena Chalco	2012	http://dx.doi.org/10.1109/eScience.2012.6404456	Towards a quantitative academic internationalization assessment of Brazilian research groups	2nd workshop on Analyzing and Improving Collaborative eScience with Social Networks - IEEE eScience - 2012	PEREZ-CERVANTES, EVELYN ; MENA-CHALCO, JESUS P. ; CESAR-JR, ROBERTO M.	B1	eScience
trabalhoCompletoEmCongresso	Jesus Pascual Mena Chalco	2011	http://dx.doi.org/10.1109/ICIP.2011.6115668	3D Facial expression analysis by using 2D and 3D wavelet transforms	18th IEEE International Conference on Image Processing - ICIP 2011	PINTO, S. C. D. ; Mena-Chalco, Jesús P. ; LOPES, Fabrício Martins ; VELHO, L ; Cesar Jr., R.M.	A1	IEEE International Conference on Image Processing
trabalhoCompletoEmCongresso	Jesus Pascual Mena Chalco	2011	http://dx.doi.org/10.13140/RG.2.1.1145.2004	Visualização interativa de redes sociais: um estudo de caso em redes de colaboração científica	Simposio Latinoamericano sobre Computación Gráfica	NASCIMENTO, C. S. ; FREITAS, C. M. D. S. ; GALANTE, R. ; NEDEL, L. ; MENA-CHALCO, J. P.	Qualis nao identificado	Simposio Latinoamericano sobre Computación Gráfica
trabalhoCompletoEmCongresso	Jesus Pascual Mena Chalco	2011	http://dx.doi.org/10.13140/RG.2.1.3963.2482	3D human face reconstruction using principal components spaces	XXIV Sibgrapi ? Conference on Graphics	MENA-CHALCO, J. P.; VELHO, L. ; CESAR JUNIOR, R. M.	Qualis nao identificado	XXIV Sibgrapi ? Conference on Graphics
trabalhoCompletoEmCongresso	Jesus Pascual Mena Chalco	2011	http://dx.doi.org/10.13140/RG.2.1.5011.8246	3D facial animation based on structural registration	XXIV Sibgrapi ? Conference on Graphics	MATTOS, A. B. ; MENA-CHALCO, J. P. ; CESAR JUNIOR, R. M.	Qualis nao identificado	XXIV Sibgrapi ? Conference on Graphics
trabalhoCompletoEmCongresso	Jesus Pascual Mena Chalco	2011	http://dx.doi.org/10.1109/eScienceW.2011.31	Towards automatic discovery of co-authorship networks in the Brazilian academic areas	Workshop On Measuring the Impact of e-Science Research (MeSR 2011) - In Conjunction with 7th IEEE International Conference on e-Science	Mena-Chalco, Jesús Pascual ; Cesar Jr., R.M.	Qualis nao identificado	Workshop On Measuring the Impact of e-Science Research (MeSR 2011) - In Conjunction with 7th IEEE International Conference on e-Science
trabalhoCompletoEmCongresso	Jesus Pascual Mena Chalco	2010	http://dx.doi.org/10.1109/SIBGRAPI.2010.44	3D Linear Facial Animation Based on Real Data	Brazilian Symposium on Computer Graphics and Image Processing SIBGRAPI 2010	MATTOS, A. B. ; Mena-Chalco, Jesús P. ; CESAR JUNIOR, R. M. ; VELHO, L	Qualis nao identificado	Brazilian Symposium on Computer Graphics and Image Processing SIBGRAPI 2010
trabalhoCompletoEmCongresso	Jesus Pascual Mena Chalco	2010	http://dx.doi.org/10.13140/RG.2.1.2852.3368	Detección de huevos helmintos mediante plantillas dinámicas	XXXVIth Latin American Informatics Conference (XXXVI CLEI)	CHUCTAYA, J. ; MENA-CHALCO, J. P. ; BELTRÁN-CASTAÑÓN, C. ; PATIÑO, R. ; HUMPIRE, G. ; RODRIGUEZ, A.	Qualis nao identificado	XXXVIth Latin American Informatics Conference (XXXVI CLEI)
trabalhoCompletoEmCongresso	Jesus Pascual Mena Chalco	2010	http://dx.doi.org/10.1109/SCCC.2010.31	A new approach to detect communities in multi-weighted co-authorship networks	XXIX International Conference of the Chilean Computer Science Society	PEREZ, E. ; MENA-CHALCO, J. P.	B3	International Conference of the Chilean Computer Science Society
trabalhoCompletoEmCongresso	Jesus Pascual Mena Chalco	2009		Estimación de distancias absolutas utilizando un puntero láser y una cámara web	III Simposio Peruano de Computación Gráfica y Procesamiento de Imágenes	PORTUGAL ZAMBRANO, C. ; MENA-CHALCO, J. P.	Qualis nao identificado	III Simposio Peruano de Computación Gráfica y Procesamiento de Imágenes
trabalhoCompletoEmCongresso	Jesus Pascual Mena Chalco	2008	http://dx.doi.org/10.1109/SIBGRAPI.2008.40	PCA-based 3D face photography	Brazilian Symposium on Computer Graphics and Image Processing	MENA-CHALCO, J. P.; MACÊDO, I. ; VELHO, L. ; CESAR JUNIOR, R. M.	Qualis nao identificado	Brazilian Symposium on Computer Graphics and Image Processing
trabalhoCompletoEmCongresso	Jesus Pascual Mena Chalco	2008		Firmas genéticas en secuencias de ADN: un análisis en regiones codificantes y no codificantes de proteínas	II Simposio Peruano de Computación Gráfica y Procesamiento de Imágenes	MEDINA-RODRIGUEZ, R. ; MENA-CHALCO, J. P.	Qualis nao identificado	II Simposio Peruano de Computación Gráfica y Procesamiento de Imágenes
trabalhoCompletoEmCongresso	Jesus Pascual Mena Chalco	2006	http://dx.doi.org/10.1109/FGR.2006.66	Human and Machine Recognition of Fourier-Bessel Filtered Face Images	7th IEEE International Conference on Automatic Face and Gesture Recognition	ZANA, Y. ; CESAR JUNIOR, R. M. ; MENA-CHALCO, J. P.	A1	International Conference on Automatic Face and Gesture Recognition
resumoExpandidoEmCongresso	Jesus Pascual Mena Chalco	2017	O Paradoxo da Amizade em Grafos de Genealogia Acadêmica: Uma Análise Experimental	Congresso Nacional de Matemática Aplicada e Computacional, 2017, São José dos Campos, SP. Congresso Nacional de Matemática Aplicada e Computacional	PAULA, A. S. ; MENA-CHALCO, J. P.	B4	Congresso Nacional de Matemática Aplicada e Computacional
resumoExpandidoEmCongresso	Jesus Pascual Mena Chalco	2015	Leadership among the leaders of the Brazilian research groups in Marine Biotechnology	15th INTERNATIONAL CONFERENCE ON SCIENTOMETRICS and INFORMETRICS, 2015, Turquia. Proceedings of ISSI 2015 Istanbul: 15th International Society of Scientometrics and Informetrics Conference, Istanbul, Turkey	FAUSTO, S. ; MENA-CHALCO, J. P.	Qualis nao identificado	15th INTERNATIONAL CONFERENCE ON SCIENTOMETRICS and INFORMETRICS, 2015, Turquia. Proceedings of ISSI 2015 Istanbul: 15th International Society of Scientometrics and Informetrics Conference, Istanbul, Turkey
resumoExpandidoEmCongresso	Jesus Pascual Mena Chalco	2014	Aos ombros de gigantes: um estudo de genealogia acadêmica dos matemáticos no Brasil	Simpósio de Pesquisa do Grande ABC, 2014, São Bernardo. Simpósio de Pesquisa do Grande ABC	ROSSI, L. ; MENA-CHALCO, J. P.	Qualis nao identificado	Simpósio de Pesquisa do Grande ABC, 2014, São Bernardo. Simpósio de Pesquisa do Grande ABC
resumoExpandidoEmCongresso	Jesus Pascual Mena Chalco	2013	The Dynamics of Multidisciplinary Research Networks - Mining a Public Repository of Scientists CVs	World Social Science Forum 2013 (social transformations and the digital ages), 2013, Canada. World Social Science Forum 2013	MEDEIROS, C. B. ; MENA-CHALCO, J. P.	Qualis nao identificado	World Social Science Forum 2013 (social transformations and the digital ages), 2013, Canada. World Social Science Forum 2013
resumoExpandidoEmCongresso	Jesus Pascual Mena Chalco	2012	Rede de coautoria acadêmica da UFABC	Simpósio de Pesquisa do Grande ABC, 2012, São Paulo. Simpósio de Pesquisa do Grande ABC	MENA-CHALCO, J. P.; CAPELLE, K. ; DALPIAN, G. M.	Qualis nao identificado	Simpósio de Pesquisa do Grande ABC, 2012, São Paulo. Simpósio de Pesquisa do Grande ABC
resumoExpandidoEmCongresso	Jesus Pascual Mena Chalco	2012	Interação acadêmica dos docentes do IME-USP no período 2000-2011	VI Simpósio de Iniciação Científica e Pós-Graduação do IME-USP, 2012, São Paulo. VI Simpósio de Iniciação Científica e Pós-Graduação do IME-USP	PEREZ-CERVANTES, E. ; MENA-CHALCO, J. P. ; CESAR JUNIOR, R. M.	Qualis nao identificado	VI Simpósio de Iniciação Científica e Pós-Graduação do IME-USP, 2012, São Paulo. VI Simpósio de Iniciação Científica e Pós-Graduação do IME-USP
resumoExpandidoEmCongresso	Jesus Pascual Mena Chalco	2011	Rede colaborativa dos pesquisadores dos programas de pós-graduação em fonoaudiologia no Brasil	XII Encontro Nacional de Pesquisa em Ciência da Informação, 2011, Brasília. XII Encontro Nacional de Pesquisa em Ciência da Informação	DANUELLO, J. C. ; MENA-CHALCO, J. P. ; OLIVEIRA, E. F. T.	Qualis nao identificado	XII Encontro Nacional de Pesquisa em Ciência da Informação, 2011, Brasília. XII Encontro Nacional de Pesquisa em Ciência da Informação
resumoExpandidoEmCongresso	Jesus Pascual Mena Chalco	2010	Preliminary results on 3D facial expression analysis using 2D and 3D wavelet transforms	23rd Brazilian Symposium on Computer Graphics and Image Processing SIBGRAPI 2010, 2010, Gramado. 23rd Brazilian Symposium on Computer Graphics and Image Processing SIBGRAPI 2010, Conference Proceedings	PINTO, S. C. D. ; MENA-CHALCO, J. P. ; LOPES, F. M. ; CESAR JUNIOR, R. M.	Qualis nao identificado	23rd Brazilian Symposium on Computer Graphics and Image Processing SIBGRAPI 2010, 2010, Gramado. 23rd Brazilian Symposium on Computer Graphics and Image Processing SIBGRAPI 2010, Conference Proceedings
resumoExpandidoEmCongresso	Jesus Pascual Mena Chalco	2004	Bioinformatics Tools for Assembling and Analysis of Chloroplast Genomes	International Conference on Bioinformatics and Computational Biology, 2004, Angra dos Reis. Proc. International Conference on Bioinformatics and Computational Biology	MENA-CHALCO, J. P.; ALVES, H. S. ; CARRER, H. ; CESAR JUNIOR, R. M.	B4	International Conference on Bioinformatics and Computational Biology
trabalhoCompletoEmCongresso	Andrea Britto Mattos	2014	http://dx.doi.org/10.1145/2596695.2596707	Marker-based image recognition of dynamic content for the visually impaired	the 11th Web for All Conference	MATTOS, ANDRÉA BRITTO; CARDONHA, CARLOS ; GALLO, DIEGO ; AVEGLIANO, PRISCILLA ; HERRMANN, RICARDO ; BORGER, SERGIO	Qualis nao identificado	the 11th Web for All Conference
trabalhoCompletoEmCongresso	Andrea Britto Mattos	2014		A Mission-Oriented Citizen Science Platform for Efficient Flower Classification Based on Combination of Feature Descriptors	International Workshop on Environmental Multimedia Retrieval 2014	MATTOS, A. B.; HERRMANN, R. G. ; SHIGENO, K. K. ; FERIS, R. S.	Qualis nao identificado	International Workshop on Environmental Multimedia Retrieval 2014
trabalhoCompletoEmCongresso	Andrea Britto Mattos	2012		E-commerce Market Analysis from a Graph-Based Product Classifier	Computational Processing of the Portuguese Language	MATTOS, A. B.; KAMPEN, M. V. ; CARRICO, C. ; CRIVELLARO, A.	Qualis nao identificado	Computational Processing of the Portuguese Language
trabalhoCompletoEmCongresso	Andrea Britto Mattos	2011	http://dx.doi.org/10.13140/RG.2.1.5011.8246	3D facial animation based on structural registration	XXIV Sibgrapi ? Conference on Graphics	MATTOS, A. B. ; MENA-CHALCO, J. P. ; CESAR JUNIOR, R. M.	Qualis nao identificado	XXIV Sibgrapi ? Conference on Graphics
trabalhoCompletoEmCongresso	Andrea Britto Mattos	2011		Computer vision research at IBOPE Media automation tools to reduce human intervention	XXIV Sibgrapi (Conference on Graphics	MATTOS, A. B.; MONTAGNER, I. ; CRIVELLARO, A. ; KLAVA, B. ; BRUN, M.	Qualis nao identificado	XXIV Sibgrapi (Conference on Graphics
trabalhoCompletoEmCongresso	Andrea Britto Mattos	2010	http://dx.doi.org/10.1109/SIBGRAPI.2010.44	3D Linear Facial Animation Based on Real Data	Brazilian Symposium on Computer Graphics and Image Processing SIBGRAPI 2010	MATTOS, A. B. ; Mena-Chalco, Jesús P. ; CESAR JUNIOR, R. M. ; VELHO, L	Qualis nao identificado	Brazilian Symposium on Computer Graphics and Image Processing SIBGRAPI 2010
resumoExpandidoEmCongresso	Andrea Britto Mattos	2014	Flower Classification for a Citizen Science Mobile App	International Conference, 2014	MATTOS, ANDRÉA BRITTO; HERRMANN, RICARDO GUIMARÃES ; SHIGENO, KELLY KIYUMI ; FERIS, ROGERIO SCHMIDT	Qualis nao identificado	International Conference, 2014
resumoExpandidoEmCongresso	Andrea Britto Mattos	2014	Marker-assisted recognition of dynamic content in public spaces	the 11th Web for All Conference, 2014	MATTOS, ANDRÉA BRITTO; HERRMANN, RICARDO ; CARDONHA, CARLOS ; GALLO, DIEGO ; AVEGLIANO, PRISCILLA ; BORGER, SERGIO	Qualis nao identificado	the 11th Web for All Conference, 2014
resumoExpandidoEmCongresso	Andrea Britto Mattos	2014	Shelf replenishment optimization towards the confluence of mobile and analytics	INFORMS, 2014, Boston. 14th Annual Conference on Business Analytics	AVEGLIANO, P. ; CARDONHA, C. ; MATTOS, A. B. ; BORGER, S.	Qualis nao identificado	INFORMS, 2014, Boston. 14th Annual Conference on Business Analytics
resumoExpandidoEmCongresso	Andrea Britto Mattos	2009	3D facial animation based on structural registration	Brazilian Symposium on Computer Graphics and Image Processing SIBGRAPI 2009, 2009, Rio de Janeiro. Brazilian Symposium on Computer Graphics and Image Processing, Conference Proceedings, 2009	MATTOS, A. B.; CESAR JUNIOR, R. M.	Qualis nao identificado	Brazilian Symposium on Computer Graphics and Image Processing SIBGRAPI 2009, 2009, Rio de Janeiro. Brazilian Symposium on Computer Graphics and Image Processing, Conference Proceedings, 2009
